side,facit_mellem,model_tekst,model_start,model_slut
273098_001503,[?],ved,90,95
273098_001503,[?],"Hosten,",292,301
273098_001503,[?]. [?],Sengen. - Skjælven,354,374
273100_001306,[?],nu tilmorgens,286,301
273100_001306,[?],Hvidske,420,428
273100_001306,[?],st,582,585
273102_001064,[?],kroupøs,431,440
273103_001462,[?],Svulst,502,510
273104_001639,[?] [?],Snøven synes,213,227
273104_001639,[?],svedt,312,319
273104_001639,[?],stadigt,531,540
273105_001570,[?] [?] [?],,164,165
273108_001555,[?],"Stridor,",306,316
273108_001555,[?],Nakken,363,371
273109_000081,[?],aande,104,111
273109_000081,[?],belagt,326,334
273109_000081,[?],Svulst,359,367
273109_000081,[?],Truncus,471,480
273110_001527,[?],aetsedes,207,217
