side,facit_mellem,model_tekst,model_start,model_slut
273098_001503,[?],ved,90,95
273098_001503,[?],faa,122,127
273098_001503,[?],"Hylen,",293,301
273098_001503,[?]. [?],Sengen. - Skydeturene,351,374
273102_001064,[?],kroupøs,419,428
273103_001462,[?],Svulst,503,511
273104_001639,[?] [?],Snøvlen synes,219,234
273104_001639,[?],sovet,318,325
273107_001864,[?],,557,558
273108_001555,[?],"Skriger,",303,313
273108_001555,[?],Nakken,366,374
273109_000081,[?],aande,104,111
273109_000081,[?],hvid,323,329
273109_000081,[?],Svulst,354,362
273109_000081,[?],Truncus,466,475
273110_001527,[?],ætsedes,207,216
