side,facit_mellem,model_tekst,model_start,model_slut
273098_001503,[?],ved,96,101
273098_001503,[?],"Hylen,",298,306
273098_001503,[?]. [?],Orden. - Skjælven,359,378
273100_001306,[?],Stuegang,300,310
273100_001306,[?],Hvidske,429,437
273100_001306,[?],st,591,594
273102_001064,[?],kroupøs,422,431
273103_001462,[?],Svulst,524,532
273104_001639,[?] [?],Snøven synes,236,250
273104_001639,[?],døset,335,342
273104_001639,[?],stadigt,567,576
273105_001570,[?] [?] [?],,183,184
273105_001570,[?],ith,435,438
273108_001555,[?],stenos.,308,317
273108_001555,[?],Nakken,365,373
273109_000081,[?],aavede,103,111
273109_000081,[?],hvid,326,332
273109_000081,[?],Svulst,357,365
273109_000081,[?],Fauces,470,478
273110_001527,[?],ætsedes,207,216
