side,facit_mellem,model_tekst,model_start,model_slut
273098_001503,[?],ved,90,95
273098_001503,[?],faa,122,127
273098_001503,[?],"Hylen,",293,301
273098_001503,[?]. [?],Sengen. - Skydeturene,351,374
273100_001306,[?],Stuegang,291,301
273100_001306,[?],Hvidske,420,428
273100_001306,[?],st,582,585
273102_001064,[?],kroupøs,418,427
273103_001462,[?],Svulst,510,518
273104_001639,[?] [?],Snuen synes,217,230
273104_001639,[?],svedt,315,322
273105_001570,[?] [?] [?],,165,166
273107_001864,[?],,586,587
273108_001555,[?],"Stridor,",306,316
273108_001555,[?],Nakken,363,371
273109_000081,[?],aande,104,111
273109_000081,[?],hvid,323,329
273109_000081,[?],Svulst,354,362
273109_000081,[?],Truncus,466,475
273110_001527,[?],ætsedes,207,216
